SAMPID	SMTSD
GTEX-14LLW-0006-SM-9QEGG	Whole Blood
GTEX-14LLW-0006-SM-GI2QF	Whole Blood
GTEX-14LLW-0011-R10a-SM-62LEG	Brain - Frontal Cortex (BA9)
GTEX-14LLW-0011-R10a-SM-AHZNO	Brain - Frontal Cortex (BA9)
GTEX-14LLW-0011-R11b-SM-62LEH	Brain - Cerebellar Hemisphere
GTEX-14LLW-0011-R1a-SM-5ZZVD	Brain - Hippocampus
GTEX-14LLW-0011-R3b-SM-62LFW	Brain - Anterior cingulate cortex (BA24)
GTEX-14LLW-0011-R5b-SM-5ZZU6	Brain - Caudate (basal ganglia)
GTEX-14LLW-0011-R5b-SM-F1RPM	Brain - Caudate (basal ganglia)
GTEX-14LLW-0011-R8a-SM-62LFG	Brain - Hypothalamus
GTEX-14LLW-0126-SM-6LLIO	Skin - Sun Exposed (Lower leg)
GTEX-14LLW-0126-SM-G5KE8	Skin - Sun Exposed (Lower leg)
GTEX-14LLW-0226-SM-62LEL	Adipose - Subcutaneous
GTEX-14LLW-0226-SM-GIRAW	Adipose - Subcutaneous
GTEX-14LLW-0326-SM-5ZZWD	Nerve - Tibial
GTEX-14LLW-0426-SM-GMXBA	Artery - Tibial
GTEX-14LLW-0526-SM-62LFB	Muscle - Skeletal
GTEX-14LLW-0526-SM-CYKP4	Muscle - Skeletal
GTEX-14LLW-0526-SM-GH6FJ	Muscle - Skeletal
GTEX-14LLW-0626-SM-62LFC	Breast - Mammary Tissue
GTEX-14LLW-0626-SM-GGQSL	Breast - Mammary Tissue
GTEX-14LLW-0726-SM-5ZZVV	Lung
GTEX-14LLW-0726-SM-F4I6X	Lung
GTEX-14LLW-1326-SM-GM8L9	Esophagus - Mucosa
GTEX-14LLW-1326-SM-HAV1J	Esophagus - Mucosa
GTEX-14LLW-2626-SM-62LDZ	Skin - Not Sun Exposed (Suprapubic)
GTEX-14LLW-2626-SM-F5B9R	Skin - Not Sun Exposed (Suprapubic)
GTEX-14LLW-2826-SM-62LE1	Brain - Cerebellum
GTEX-14LLW-3026-SM-6EU1O	Pituitary
GTEX-14LLW-3026-SM-F114U	Pituitary
GTEX-14LZ3-0003-SM-5GYE9	Whole Blood
GTEX-14LZ3-0003-SM-7DLGY	Whole Blood
GTEX-14LZ3-0005-SM-7MXUG	Whole Blood
GTEX-14LZ3-0005-SM-GH6GO	Whole Blood
GTEX-14LZ3-0011-R10a-SM-AHZNP	Brain - Frontal Cortex (BA9)
GTEX-14LZ3-0011-R10b-SM-6AJA9	Brain - Frontal Cortex (BA9)
GTEX-14LZ3-0011-R10b-SM-DKVHK	Brain - Frontal Cortex (BA9)
GTEX-14LZ3-0011-R10b-SM-EX424	Brain - Frontal Cortex (BA9)
GTEX-14LZ3-0011-R11b-SM-DKVHJ	Brain - Cerebellar Hemisphere
GTEX-14LZ3-0011-R1a-SM-69LP5	Brain - Hippocampus
GTEX-14LZ3-0011-R1a-SM-DKVHL	Brain - Hippocampus
GTEX-14LZ3-0011-R1a-SM-EWYIT	Brain - Hippocampus
GTEX-14LZ3-0011-R2b-SM-DKVHP	Brain - Substantia nigra
GTEX-14LZ3-0011-R2b-SM-GM3FU	Brain - Substantia nigra
GTEX-14LZ3-0011-R3a-SM-664NQ	Brain - Anterior cingulate cortex (BA24)
GTEX-14LZ3-0011-R3a-SM-DKVHH	Brain - Anterior cingulate cortex (BA24)
GTEX-14LZ3-0011-R3a-SM-EVYS3	Brain - Anterior cingulate cortex (BA24)
GTEX-14LZ3-0011-R5b-SM-5ZZV8	Brain - Caudate (basal ganglia)
GTEX-14LZ3-0011-R5b-SM-DKVHI	Brain - Caudate (basal ganglia)
GTEX-14LZ3-0011-R5b-SM-F114F	Brain - Caudate (basal ganglia)
GTEX-14LZ3-0011-R6a-SM-686ZO	Brain - Nucleus accumbens (basal ganglia)
GTEX-14LZ3-0011-R6a-SM-69LQM	Brain - Nucleus accumbens (basal ganglia)
GTEX-14LZ3-0011-R6a-SM-COH1V	Brain - Nucleus accumbens (basal ganglia)
GTEX-14LZ3-0011-R6a-SM-D3L8C	Brain - Nucleus accumbens (basal ganglia)
GTEX-14LZ3-0011-R6a-SM-DKVHN	Brain - Nucleus accumbens (basal ganglia)
GTEX-14LZ3-0011-R6a-SM-EVYNR	Brain - Nucleus accumbens (basal ganglia)
GTEX-14LZ3-0011-R7a-SM-69LQN	Brain - Putamen (basal ganglia)
GTEX-14LZ3-0011-R7a-SM-DKVHO	Brain - Putamen (basal ganglia)
GTEX-14LZ3-0011-R7a-SM-EXKXY	Brain - Putamen (basal ganglia)
GTEX-14LZ3-0011-R8b-SM-69LOZ	Brain - Hypothalamus
GTEX-14LZ3-0011-R8b-SM-69LP6	Brain - Hypothalamus
GTEX-14LZ3-0011-R8b-SM-COH3M	Brain - Hypothalamus
GTEX-14LZ3-0011-R8b-SM-DKVHM	Brain - Hypothalamus
GTEX-14LZ3-0011-R8b-SM-F1KCS	Brain - Hypothalamus
GTEX-14LZ3-0126-SM-69LPM	Skin - Not Sun Exposed (Suprapubic)
GTEX-14LZ3-0126-SM-F3J9E	Skin - Not Sun Exposed (Suprapubic)
GTEX-14LZ3-0226-SM-62LET	Skin - Sun Exposed (Lower leg)
GTEX-14LZ3-0626-SM-5ZZWP	Muscle - Skeletal
GTEX-14LZ3-0626-SM-CYKQF	Muscle - Skeletal
GTEX-14LZ3-0626-SM-F55H6	Muscle - Skeletal
GTEX-14LZ3-0726-SM-5YYAB	Lung
GTEX-14LZ3-0726-SM-F3IR7	Lung
GTEX-14LZ3-0726-SM-GW18U	Lung
GTEX-14LZ3-1826-SM-5YY8Y	Esophagus - Muscularis
GTEX-14LZ3-1826-SM-GM5NS	Breast - Mammary Tissue
GTEX-14LZ3-2326-SM-GW1VH	Ovary
GTEX-14LZ3-2726-SM-GW1WK	Colon - Transverse
GTEX-14LZ3-2926-SM-5YY8T	Brain - Cerebellum
GTEX-14LZ3-2926-SM-GM84G	Brain - Cerebellum
GTEX-14LZ3-3026-SM-5ZZVU	Brain - Cortex
GTEX-14LZ3-3026-SM-F27AU	Brain - Cortex
GTEX-14LZ3-3126-SM-69LPN	Pituitary
GTEX-14LZ3-3126-SM-F27A2	Pituitary
GTEX-14PHW-0002-SM-5GYEU	Whole Blood
GTEX-14PHW-0002-SM-7DROQ	Whole Blood
GTEX-14PHW-0005-SM-9KNTK	Whole Blood
GTEX-14PHW-0005-SM-GKGMB	Whole Blood
GTEX-14PHW-0011-R10a-SM-AHZNG	Brain - Frontal Cortex (BA9)
GTEX-14PHW-0011-R6b-SM-5YYAR	Brain - Nucleus accumbens (basal ganglia)
GTEX-14PHW-0011-R6b-SM-GM5R2	Brain - Nucleus accumbens (basal ganglia)
GTEX-14PHW-0126-SM-6LLJI	Skin - Sun Exposed (Lower leg)
GTEX-14PHW-0526-SM-6LLIP	Nerve - Tibial
GTEX-14PHW-1326-SM-6EU1S	Esophagus - Gastroesophageal Junction
GTEX-14PHW-1326-SM-F4VSQ	Esophagus - Gastroesophageal Junction
GTEX-14PHW-1626-SM-6EU2H	Adipose - Visceral (Omentum)
GTEX-14PHW-1626-SM-F51OT	Adipose - Visceral (Omentum)
GTEX-14PHW-2226-SM-GW16D	Ovary
GTEX-14PHW-2426-SM-69LPU	Uterus
GTEX-14PHW-2426-SM-F16AB	Uterus
GTEX-14PHW-2926-SM-6AJBA	Thyroid
GTEX-14PHW-2926-SM-EXOOG	Thyroid
GTEX-14PHW-3226-SM-GLDV4	Pituitary
GTEX-14PHW-3226-SM-HAV31	Pituitary
GTEX-14PHX-0001-SM-5GYEB	Whole Blood
GTEX-14PHX-0001-SM-7DLGQ	Whole Blood
GTEX-14PHX-0006-SM-9MQJN	Whole Blood
GTEX-14PHX-0326-SM-GMKIM	Thyroid
GTEX-14PHX-0326-SM-H7OFQ	Thyroid
GTEX-14PHX-0526-SM-664NW	Liver
GTEX-14PHX-0526-SM-EWDYR	Liver
GTEX-14PHX-0626-SM-5YY8Z	Heart - Atrial Appendage
GTEX-14PHX-0626-SM-EX476	Heart - Atrial Appendage
GTEX-14PHX-0826-SM-69LPO	Esophagus - Muscularis
GTEX-14PHX-0826-SM-EXCOZ	Esophagus - Muscularis
GTEX-14PHX-0926-SM-5ZZWC	Esophagus - Gastroesophageal Junction
GTEX-14PHX-0926-SM-EZKQR	Esophagus - Gastroesophageal Junction
GTEX-14PHX-1026-SM-664OL	Stomach
GTEX-14PHX-1026-SM-EWDYU	Stomach
GTEX-14PHX-1126-SM-5YYA5	Colon - Sigmoid
GTEX-14PHX-1126-SM-F3IRN	Colon - Sigmoid
GTEX-14PHX-1426-SM-69LPP	Testis
GTEX-14PHX-1426-SM-EXCP1	Testis
GTEX-14PHX-1526-SM-68717	Colon - Transverse
GTEX-14PHX-1526-SM-EXCQA	Colon - Transverse
GTEX-14PHX-1626-SM-69LQB	Adipose - Visceral (Omentum)
GTEX-14PHX-1626-SM-EXKXV	Adipose - Visceral (Omentum)
GTEX-14PHX-2026-SM-6872C	Pancreas
GTEX-14PHX-2026-SM-EVYSV	Pancreas
GTEX-14PHX-2126-SM-6EU2U	Heart - Left Ventricle
GTEX-14PHX-2126-SM-F4I7H	Heart - Left Ventricle
GTEX-14PHX-2226-SM-6EU2P	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PHX-2226-SM-F16AE	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PHX-2326-SM-62LEM	Skin - Sun Exposed (Lower leg)
GTEX-14PHX-2326-SM-F5WPG	Skin - Sun Exposed (Lower leg)
GTEX-14PHX-2426-SM-62LEN	Adipose - Subcutaneous
GTEX-14PHX-2526-SM-62LEO	Nerve - Tibial
GTEX-14PHY-0002-SM-5GYE7	Whole Blood
GTEX-14PHY-0002-SM-7DLFV	Whole Blood
GTEX-14PHY-0006-SM-7SB7I	Whole Blood
GTEX-14PHY-0226-SM-5ZZWM	Heart - Left Ventricle
GTEX-14PHY-0226-SM-F23P4	Heart - Left Ventricle
GTEX-14PHY-0326-SM-62LE3	Heart - Atrial Appendage
GTEX-14PHY-0526-SM-664NM	Lung
GTEX-14PHY-0526-SM-EX3ZC	Lung
GTEX-14PHY-0626-SM-664NN	Esophagus - Mucosa
GTEX-14PHY-0626-SM-EVYMR	Esophagus - Mucosa
GTEX-14PHY-0726-SM-5YY8X	Esophagus - Muscularis
GTEX-14PHY-0726-SM-EWYE6	Esophagus - Muscularis
GTEX-14PHY-0926-SM-5ZZWL	Stomach
GTEX-14PHY-0926-SM-F27AW	Stomach
GTEX-14PHY-1026-SM-62LEV	Adipose - Visceral (Omentum)
GTEX-14PHY-1126-SM-664OR	Pancreas
GTEX-14PHY-1126-SM-EWYEA	Pancreas
GTEX-14PHY-1226-SM-5ZZWK	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PHY-1226-SM-F1FB9	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PHY-1526-SM-GLFVN	Adrenal Gland
GTEX-14PHY-1526-SM-HLJSM	Adrenal Gland
GTEX-14PHY-1626-SM-GW237	Ovary
GTEX-14PHY-1926-SM-5YY95	Breast - Mammary Tissue
GTEX-14PHY-1926-SM-F1HZM	Breast - Mammary Tissue
GTEX-14PHY-1926-SM-GW2A6	Breast - Mammary Tissue
GTEX-14PHY-2626-SM-62LF8	Nerve - Tibial
GTEX-14PHY-2726-SM-62LE2	Artery - Tibial
GTEX-14PHY-2726-SM-GEGRR	Artery - Tibial
GTEX-14PHY-5001-SM-AN43I	Heart - Left Ventricle
GTEX-14PHY-5019-SM-AN43N	Muscle - Skeletal
GTEX-14PII-0004-SM-5GYE5	Whole Blood
GTEX-14PII-0004-SM-7DROO	Whole Blood
GTEX-14PII-0005-SM-7RHFV	Whole Blood
GTEX-14PII-0005-SM-GMK1A	Whole Blood
GTEX-14PII-0226-SM-6EU1T	Skin - Sun Exposed (Lower leg)
GTEX-14PII-0226-SM-F3SXZ	Skin - Sun Exposed (Lower leg)
GTEX-14PII-0326-SM-6LLIQ	Adipose - Subcutaneous
GTEX-14PII-0426-SM-6LLIR	Nerve - Tibial
GTEX-14PII-0526-SM-6EU2A	Artery - Tibial
GTEX-14PII-0526-SM-F51FL	Artery - Tibial
GTEX-14PII-0626-SM-69LPY	Muscle - Skeletal
GTEX-14PII-0626-SM-F39YW	Muscle - Skeletal
GTEX-14PII-0726-SM-6EU2B	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PII-0726-SM-F1BYC	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PII-0826-SM-6871S	Thyroid
GTEX-14PII-0826-SM-EWYK3	Thyroid
GTEX-14PII-1026-SM-5ZZVW	Heart - Atrial Appendage
GTEX-14PII-1026-SM-F418Y	Heart - Atrial Appendage
GTEX-14PII-1426-SM-GPRXG	Esophagus - Muscularis
GTEX-14PII-2226-SM-GMXB7	Adipose - Visceral (Omentum)
GTEX-14PII-2726-SM-GNINX	Artery - Aorta
GTEX-14PJ2-0002-SM-5GYE2	Whole Blood
GTEX-14PJ2-0002-SM-7DROD	Whole Blood
GTEX-14PJ2-0005-SM-9JGFU	Whole Blood
GTEX-14PJ2-0226-SM-6LLH4	Adipose - Subcutaneous
GTEX-14PJ2-0326-SM-6EU2Q	Muscle - Skeletal
GTEX-14PJ2-0326-SM-F55GK	Muscle - Skeletal
GTEX-14PJ2-0626-SM-6LLII	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PJ2-1026-SM-6EU1M	Heart - Left Ventricle
GTEX-14PJ2-1026-SM-F41B2	Heart - Left Ventricle
GTEX-14PJ2-1126-SM-69LOD	Heart - Atrial Appendage
GTEX-14PJ2-1126-SM-EXI5A	Heart - Atrial Appendage
GTEX-14PJ2-1226-SM-62LFE	Artery - Aorta
GTEX-14PJ2-1226-SM-G8KS2	Artery - Aorta
GTEX-14PJ2-1226-SM-GEGO4	Artery - Aorta
GTEX-14PJ2-1426-SM-62LFF	Adipose - Visceral (Omentum)
GTEX-14PJ2-1526-SM-686Z4	Pancreas
GTEX-14PJ2-1526-SM-EVYSL	Pancreas
GTEX-14PJ2-1826-SM-GLFV9	Kidney - Cortex
GTEX-14PJ2-1826-SM-HL9UB	Kidney - Cortex
GTEX-14PJ2-2026-SM-6AJAQ	Testis
GTEX-14PJ2-2026-SM-EWR2R	Testis
GTEX-14PJ2-2126-SM-5YY96	Prostate
GTEX-14PJ2-2126-SM-F41DU	Prostate
GTEX-14PJ2-2626-SM-GM8LB	Esophagus - Mucosa
GTEX-14PJ2-2626-SM-HAUXT	Esophagus - Mucosa
GTEX-14PJ2-2726-SM-5ZZVZ	Esophagus - Muscularis
GTEX-14PJ2-2726-SM-F34LV	Esophagus - Muscularis
GTEX-14PJ2-2826-SM-6EU1N	Esophagus - Gastroesophageal Junction
GTEX-14PJ2-2826-SM-F41AZ	Esophagus - Gastroesophageal Junction
GTEX-14PJ3-0004-SM-5GYE1	Whole Blood
GTEX-14PJ3-0004-SM-7DROK	Whole Blood
GTEX-14PJ3-0005-SM-9JGFT	Whole Blood
GTEX-14PJ3-0005-SM-GKGLI	Whole Blood
GTEX-14PJ3-0126-SM-69LQP	Thyroid
GTEX-14PJ3-0126-SM-EWF6J	Thyroid
GTEX-14PJ3-0226-SM-6EU37	Artery - Aorta
GTEX-14PJ3-0226-SM-F3JKR	Artery - Aorta
GTEX-14PJ3-0326-SM-GPI94	Spleen
GTEX-14PJ3-0426-SM-6LLHF	Pancreas
GTEX-14PJ3-0626-SM-6UGC5	Esophagus - Mucosa
GTEX-14PJ3-0626-SM-7KFRZ	Esophagus - Mucosa
GTEX-14PJ3-0626-SM-EZHEG	Esophagus - Mucosa
GTEX-14PJ3-0726-SM-69LQE	Adipose - Visceral (Omentum)
GTEX-14PJ3-0726-SM-EXKXW	Adipose - Visceral (Omentum)
GTEX-14PJ3-0826-SM-6AJBR	Esophagus - Muscularis
GTEX-14PJ3-0826-SM-EWR5J	Esophagus - Muscularis
GTEX-14PJ3-0926-SM-69LQG	Colon - Transverse
GTEX-14PJ3-0926-SM-EXKXX	Colon - Transverse
GTEX-14PJ3-1126-SM-5ZZVX	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PJ3-1126-SM-F4GMD	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PJ3-1226-SM-5ZZVY	Colon - Sigmoid
GTEX-14PJ3-1226-SM-F1KDC	Colon - Sigmoid
GTEX-14PJ3-1326-SM-664O7	Small Intestine - Terminal Ileum
GTEX-14PJ3-1326-SM-EWYE8	Small Intestine - Terminal Ileum
GTEX-14PJ3-1426-SM-664O8	Stomach
GTEX-14PJ3-1426-SM-EX3ZF	Stomach
GTEX-14PJ3-1526-SM-664O9	Minor Salivary Gland
GTEX-14PJ3-1526-SM-EXKUJ	Minor Salivary Gland
GTEX-14PJ3-1626-SM-664O5	Testis
GTEX-14PJ3-1626-SM-EX3ZE	Testis
GTEX-14PJ3-1726-SM-5ZZVH	Prostate
GTEX-14PJ3-1726-SM-F34LU	Prostate
GTEX-14PJ3-1826-SM-62LEX	Skin - Sun Exposed (Lower leg)
GTEX-14PJ3-1826-SM-G5R1O	Skin - Sun Exposed (Lower leg)
GTEX-14PJ3-1926-SM-62LEY	Adipose - Subcutaneous
GTEX-14PJ3-2026-SM-5ZZVK	Muscle - Skeletal
GTEX-14PJ3-2026-SM-F4BDR	Muscle - Skeletal
GTEX-14PJ3-2126-SM-5ZZVL	Artery - Tibial
GTEX-14PJ3-2126-SM-F3JI3	Artery - Tibial
GTEX-14PJ3-2226-SM-62LFD	Nerve - Tibial
GTEX-14PJ3-2226-SM-G5OON	Nerve - Tibial
GTEX-14PJ4-0004-SM-5GYE3	Whole Blood
GTEX-14PJ4-0004-SM-7DROM	Whole Blood
GTEX-14PJ4-0006-SM-7RHFY	Whole Blood
GTEX-14PJ4-0006-SM-GMK1B	Whole Blood
GTEX-14PJ4-0126-SM-62LEZ	Adipose - Visceral (Omentum)
GTEX-14PJ4-0126-SM-G8KS1	Adipose - Visceral (Omentum)
GTEX-14PJ4-0126-SM-GEGNE	Adipose - Visceral (Omentum)
GTEX-14PJ4-0226-SM-5YY92	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PJ4-0226-SM-F2TZU	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PJ4-0326-SM-664OT	Thyroid
GTEX-14PJ4-0326-SM-EXOKP	Thyroid
GTEX-14PJ4-0426-SM-6871F	Adrenal Gland
GTEX-14PJ4-0426-SM-EWYEX	Adrenal Gland
GTEX-14PJ4-0526-SM-6871G	Spleen
GTEX-14PJ4-0526-SM-EWYEY	Spleen
GTEX-14PJ4-0626-SM-6AJBS	Lung
GTEX-14PJ4-0626-SM-EXOL8	Lung
GTEX-14PJ4-0626-SM-GW1QR	Lung
GTEX-14PJ4-0726-SM-6872E	Pancreas
GTEX-14PJ4-0726-SM-EXHYA	Pancreas
GTEX-14PJ4-0826-SM-6LLH5	Artery - Aorta
GTEX-14PJ4-0926-SM-5YY98	Heart - Atrial Appendage
GTEX-14PJ4-0926-SM-EZKQW	Heart - Atrial Appendage
GTEX-14PJ4-1026-SM-6AJ97	Artery - Coronary
GTEX-14PJ4-1026-SM-EVYSX	Artery - Coronary
GTEX-14PJ4-1126-SM-5YY91	Heart - Left Ventricle
GTEX-14PJ4-1126-SM-F1RRD	Heart - Left Ventricle
GTEX-14PJ4-1226-SM-5YY9U	Prostate
GTEX-14PJ4-1226-SM-EXCS3	Prostate
GTEX-14PJ4-1326-SM-5ZZVM	Esophagus - Gastroesophageal Junction
GTEX-14PJ4-1326-SM-F1RMY	Esophagus - Gastroesophageal Junction
GTEX-14PJ4-1426-SM-69LO6	Esophagus - Muscularis
GTEX-14PJ4-1426-SM-EXCRF	Esophagus - Muscularis
GTEX-14PJ4-1526-SM-664OA	Esophagus - Mucosa
GTEX-14PJ4-1526-SM-EXKYK	Esophagus - Mucosa
GTEX-14PJ4-1626-SM-664OB	Stomach
GTEX-14PJ4-1626-SM-EXI5V	Stomach
GTEX-14PJ4-1726-SM-664OC	Testis
GTEX-14PJ4-1726-SM-EXOKO	Testis
GTEX-14PJ4-1826-SM-5YY97	Colon - Sigmoid
GTEX-14PJ4-1826-SM-EXI5R	Colon - Sigmoid
GTEX-14PJ4-1926-SM-6LLHG	Colon - Transverse
GTEX-14PJ4-1926-SM-GW1DO	Colon - Transverse
GTEX-14PJ4-2126-SM-6ETZJ	Breast - Mammary Tissue
GTEX-14PJ4-2126-SM-F34NG	Breast - Mammary Tissue
GTEX-14PJ4-2226-SM-6LLIS	Adipose - Subcutaneous
GTEX-14PJ4-2426-SM-6EU1U	Muscle - Skeletal
GTEX-14PJ4-2426-SM-F34OG	Muscle - Skeletal
GTEX-14PJ4-2526-SM-6LLIT	Nerve - Tibial
GTEX-14PJ4-2526-SM-G8KUH	Nerve - Tibial
GTEX-14PJ4-2526-SM-GEGNL	Nerve - Tibial
GTEX-14PJ4-5004-SM-AN42T	Heart - Left Ventricle
GTEX-14PJ4-5019-SM-AN42S	Muscle - Skeletal
GTEX-14PJ5-0001-SM-5GYE4	Whole Blood
GTEX-14PJ5-0001-SM-7DROP	Whole Blood
GTEX-14PJ5-0005-SM-9MQLO	Whole Blood
GTEX-14PJ5-0126-SM-5ZZW1	Thyroid
GTEX-14PJ5-0126-SM-GHHMG	Artery - Coronary
GTEX-14PJ5-0226-SM-5YY99	Lung
GTEX-14PJ5-0226-SM-EXCS5	Lung
GTEX-14PJ5-0326-SM-664OD	Spleen
GTEX-14PJ5-0326-SM-EXHXM	Spleen
GTEX-14PJ5-0426-SM-5ZZW2	Adipose - Visceral (Omentum)
GTEX-14PJ5-0426-SM-F1BZO	Adipose - Visceral (Omentum)
GTEX-14PJ5-0526-SM-664OE	Esophagus - Mucosa
GTEX-14PJ5-0526-SM-EWDYS	Esophagus - Mucosa
GTEX-14PJ5-0626-SM-6LLIJ	Esophagus - Muscularis
GTEX-14PJ5-0825-A-SM-AW8QH	Stomach - Mixed Cell
GTEX-14PJ5-0825-B-SM-AW8PS	Stomach - Mucosa
GTEX-14PJ5-0825-C-SM-AW8ON	Stomach - Muscularis
GTEX-14PJ5-0826-SM-6AJAR	Stomach
GTEX-14PJ5-0826-SM-EXCQE	Stomach
GTEX-14PJ5-0926-SM-6LLIK	Colon - Transverse
GTEX-14PJ5-1026-SM-GM5PZ	Colon - Sigmoid
GTEX-14PJ5-1026-SM-H6Q6P	Colon - Sigmoid
GTEX-14PJ5-1426-SM-68718	Esophagus - Gastroesophageal Junction
GTEX-14PJ5-1426-SM-GIRAX	Esophagus - Gastroesophageal Junction
GTEX-14PJ5-1526-SM-6LLIL	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PJ5-1526-SM-F55GB	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PJ5-1626-SM-GMXB6	Skin - Sun Exposed (Lower leg)
GTEX-14PJ5-1826-SM-GMXB5	Nerve - Tibial
GTEX-14PJ5-1926-SM-6LLIM	Artery - Tibial
GTEX-14PJ5-1926-SM-GKBC9	Artery - Tibial
GTEX-14PJ5-2026-SM-6LLIN	Muscle - Skeletal
GTEX-14PJ5-5001-SM-AN42L	Lung
GTEX-14PJ6-0001-SM-5GYEE	Whole Blood
GTEX-14PJ6-0001-SM-7DLF2	Whole Blood
GTEX-14PJ6-0006-SM-7P8RE	Whole Blood
GTEX-14PJ6-0006-SM-GMK29	Whole Blood
GTEX-14PJ6-0126-SM-686Z5	Adrenal Gland
GTEX-14PJ6-0126-SM-EXHY7	Adrenal Gland
GTEX-14PJ6-0226-SM-6AJ9K	Spleen
GTEX-14PJ6-0226-SM-EXOL6	Spleen
GTEX-14PJ6-0326-SM-6871H	Thyroid
GTEX-14PJ6-0326-SM-EXKZ9	Thyroid
GTEX-14PJ6-0426-SM-GW1C8	Lung
GTEX-14PJ6-0526-SM-6LLIU	Artery - Aorta
GTEX-14PJ6-0626-SM-686Z6	Heart - Atrial Appendage
GTEX-14PJ6-0626-SM-EVYNQ	Heart - Atrial Appendage
GTEX-14PJ6-0726-SM-69LOL	Heart - Left Ventricle
GTEX-14PJ6-0726-SM-EXI5B	Heart - Left Ventricle
GTEX-14PJ6-0826-SM-686Z9	Stomach
GTEX-14PJ6-0826-SM-EXKV6	Stomach
GTEX-14PJ6-0926-SM-686ZA	Pancreas
GTEX-14PJ6-0926-SM-EXOOB	Pancreas
GTEX-14PJ6-1026-SM-686ZB	Esophagus - Mucosa
GTEX-14PJ6-1026-SM-EXCSJ	Esophagus - Mucosa
GTEX-14PJ6-1126-SM-6AJ9R	Esophagus - Muscularis
GTEX-14PJ6-1126-SM-EWYK6	Esophagus - Muscularis
GTEX-14PJ6-1226-SM-6LLHJ	Artery - Coronary
GTEX-14PJ6-1226-SM-GI2MD	Artery - Coronary
GTEX-14PJ6-1426-SM-GW16N	Ovary
GTEX-14PJ6-1526-SM-6AJ9M	Uterus
GTEX-14PJ6-1526-SM-EXCSM	Uterus
GTEX-14PJ6-1626-SM-6872D	Vagina
GTEX-14PJ6-1626-SM-EWR5D	Vagina
GTEX-14PJ6-1726-SM-6AJBN	Small Intestine - Terminal Ileum
GTEX-14PJ6-1726-SM-EVYT2	Small Intestine - Terminal Ileum
GTEX-14PJ6-2026-SM-GW1R5	Breast - Mammary Tissue
GTEX-14PJ6-2126-SM-6EU1V	Skin - Sun Exposed (Lower leg)
GTEX-14PJ6-2126-SM-F4JC4	Skin - Sun Exposed (Lower leg)
GTEX-14PJ6-2226-SM-6LLIV	Adipose - Subcutaneous
GTEX-14PJ6-2326-SM-6ETZR	Muscle - Skeletal
GTEX-14PJ6-2326-SM-F4I7I	Muscle - Skeletal
GTEX-14PJ6-2426-SM-6ETZS	Nerve - Tibial
GTEX-14PJ6-2426-SM-F4VSR	Nerve - Tibial
GTEX-14PJ6-2626-SM-6EU2T	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PJ6-2626-SM-F1BYE	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PJ6-5001-SM-AN42U	Lung
GTEX-14PJ6-5004-SM-AN42W	Heart - Left Ventricle
GTEX-14PJ6-5019-SM-AN42V	Muscle - Skeletal
GTEX-14PJM-0003-SM-5GYE8	Whole Blood
GTEX-14PJM-0003-SM-7DLG8	Whole Blood
GTEX-14PJM-0006-SM-9JGHA	Whole Blood
GTEX-14PJM-0011-R10a-SM-686ZP	Brain - Frontal Cortex (BA9)
GTEX-14PJM-0011-R10a-SM-AHZNK	Brain - Frontal Cortex (BA9)
GTEX-14PJM-0011-R10a-SM-CYKSM	Brain - Frontal Cortex (BA9)
GTEX-14PJM-0011-R10a-SM-DKVGP	Brain - Frontal Cortex (BA9)
GTEX-14PJM-0011-R10a-SM-EVYTX	Brain - Frontal Cortex (BA9)
GTEX-14PJM-0011-R1a-SM-6AJAG	Brain - Hippocampus
GTEX-14PJM-0011-R1a-SM-6EU2Z	Brain - Hippocampus
GTEX-14PJM-0011-R1a-SM-CNPO3	Brain - Hippocampus
GTEX-14PJM-0011-R1a-SM-DKVGQ	Brain - Hippocampus
GTEX-14PJM-0011-R1a-SM-F34NK	Brain - Hippocampus
GTEX-14PJM-0011-R2b-SM-DKVGU	Brain - Substantia nigra
GTEX-14PJM-0011-R3b-SM-5ZZV9	Brain - Anterior cingulate cortex (BA24)
GTEX-14PJM-0011-R3b-SM-DKVGM	Brain - Anterior cingulate cortex (BA24)
GTEX-14PJM-0011-R3b-SM-F1KDB	Brain - Anterior cingulate cortex (BA24)
GTEX-14PJM-0011-R4a-SM-5YYAS	Brain - Amygdala
GTEX-14PJM-0011-R4a-SM-DKVGL	Brain - Amygdala
GTEX-14PJM-0011-R4a-SM-EXKUD	Brain - Amygdala
